0	6C
1	61
2	6B
3	73
4	6A
5	64
6	6B
7	73
8	6E
9	6A
10	64
11	73
12	6B
13	6A
14	64
15	66
16	68
17	75
18	68
19	6B
20	6D
21	6E
22	6E
23	66
24	6B
25	67
26	6A
27	64
28	66
29	6B
30	67
31	6A
32	64
33	6C
34	72
35	72
36	74
37	74
38	74
39	64
40	64
41	63
42	63
43	63
44	76
45	66
46	72
47	72
48	64
49	64
50	6C
51	73
52	64
53	6C
54	66
55	6B
56	6A
57	6B
58	6A
59	66
60	6B
61	67
62	66
63	6C
64	64
65	6B
66	66
67	6A
68	67
69	69
70	65
71	6F
72	69
73	72
74	75
75	74
76	6F
77	65
78	6B
79	66
80	6C
81	6A
82	64
83	6B
84	66
85	6A
86	67
87	6D
88	63
89	6B
90	6A
91	6C
92	6B
93	6A
94	6C
95	73
96	6B
97	64
98	66
99	6A
100	69
101	72
102	75
103	65
104	6F
105	72
106	69
107	77
108	70
109	65
110	6F
111	69
112	72
113	6C
114	6C
115	6B
116	6A
117	61
118	73
119	64
120	6D
121	6E
122	78
123	62
124	63
125	76
126	64
127	6A
128	66
129	68
130	73
131	6B
132	75
133	77
134	69
135	72
136	79
137	65
138	6A
139	68
140	6B
141	6A
142	73
143	68
144	64
145	66
146	78
147	6E
148	76
149	62
150	78
151	6D
152	63
153	62
154	6E
155	76
156	68
157	6A
158	6B
159	68
160	6A
161	6B
162	73
163	68
164	66
165	6A
166	73
167	6B
168	64
169	6A
170	66
171	73
172	68
173	6B
174	64
175	66
176	6A
177	68
178	6B
179	73
180	6A
181	64
182	66
183	68
184	6B
185	73
186	6A
187	64
188	66
189	68
190	73
191	6B
192	6A
193	64
194	68
195	66
196	6B
197	73
198	6A
199	64
200	66
201	68
202	73
203	6B
204	6A
205	66
206	64
207	68
208	6E
209	6D
210	69
211	77
212	75
213	72
214	79
215	70
216	6F
217	69
218	70
219	77
220	65
221	72
222	77
223	70
224	65
225	6F
226	72
227	69
228	77
229	65
230	6B
231	6C
232	73
233	64
234	6F
235	73
236	70
237	64
238	69
239	66
240	73
241	64
242	66
243	6F
244	65
245	72
246	77
247	6B
