0	EC
1	61
2	6B
3	73
4	EA
5	64
6	6B
7	73
8	6E
9	EA
10	64
11	73
12	6B
13	EA
14	64
15	E6
16	68
17	75
18	68
19	6B
20	6D
21	6E
22	6E
23	E6
24	6B
25	67
26	EA
27	64
28	E6
29	6B
30	67
31	EA
32	64
33	EC
34	F2
35	F2
36	F4
37	F4
38	F4
39	64
40	64
41	E3
42	E3
43	E3
44	76
45	E6
46	F2
47	F2
48	64
49	64
50	EC
51	73
52	64
53	EC
54	E6
55	6B
56	EA
57	6B
58	EA
59	E6
60	6B
61	67
62	E6
63	EC
64	64
65	6B
66	E6
67	EA
68	67
69	E9
70	E5
71	EF
72	E9
73	F2
74	75
75	F4
76	EF
77	E5
78	6B
79	E6
80	EC
81	EA
82	64
83	6B
84	E6
85	EA
86	67
87	6D
88	E3
89	6B
90	EA
91	EC
92	6B
93	EA
94	EC
95	73
96	6B
97	64
98	E6
99	EA
100	E9
101	F2
102	75
103	E5
104	EF
105	F2
106	E9
107	F7
108	70
109	E5
110	EF
111	E9
112	F2
113	EC
114	EC
115	6B
116	EA
117	61
118	73
119	64
120	6D
121	6E
122	F8
123	62
124	E3
125	76
126	64
127	EA
128	E6
129	68
130	73
131	6B
132	75
133	F7
134	E9
135	F2
136	79
137	E5
138	EA
139	68
140	6B
141	EA
142	73
143	68
144	64
145	E6
146	F8
147	6E
148	76
149	62
150	F8
151	6D
152	E3
153	62
154	6E
155	76
156	68
157	EA
158	6B
159	68
160	EA
161	6B
162	73
163	68
164	E6
165	EA
166	73
167	6B
168	64
169	EA
170	E6
171	73
172	68
173	6B
174	64
175	E6
176	EA
177	68
178	6B
179	73
180	EA
181	64
182	E6
183	68
184	6B
185	73
186	EA
187	64
188	E6
189	68
190	73
191	6B
192	EA
193	64
194	68
195	E6
196	6B
197	73
198	EA
199	64
200	E6
201	68
202	73
203	6B
204	EA
205	E6
206	64
207	68
208	6E
209	6D
210	E9
211	F7
212	75
213	F2
214	79
215	70
216	EF
217	E9
218	70
219	F7
220	E5
221	F2
222	F7
223	70
224	E5
225	EF
226	F2
227	E9
228	F7
229	E5
230	6B
231	EC
232	73
233	64
234	EF
235	73
236	70
237	64
238	E9
239	E6
240	73
241	64
242	E6
243	EF
244	E5
245	F2
246	F7
247	6B
248	E5
249	F2
250	EA
251	F7
252	E5
253	EC
254	E6
255	73
256	E9
257	64
258	EF
259	70
260	E6
261	75
262	73
263	64
264	E9
265	EF
266	75
267	E6
268	73
269	EF
270	6B
271	EA
272	E5
273	F7
274	EC
275	F2
276	6B
277	E5
278	EA
279	F2
280	EC
281	F7
282	6B
283	E5
284	F2
285	EA
286	70
287	64
288	73
289	EF
290	E6
291	73
292	64
293	E6
294	EA
295	6D
296	68
297	73
298	64
299	6B
300	EC
301	E6
302	EA
303	EC
304	6B
305	64
306	E3
307	6E
308	76
309	62
310	F8
311	E3
312	6D
313	62
314	E3
315	6E
316	F8
317	6D
318	76
319	E3
320	6D
321	F8
322	62
323	6E
324	E3
325	6D
326	76
327	F8
328	6E
329	76
330	6D
331	6E
332	E3
333	6D
334	F8
335	6E
336	E3
337	76
338	EA
339	6B
340	67
341	68
342	EA
343	E6
344	64
345	67
346	68
347	6B
348	64
349	E6
350	67
351	64
352	E9
353	F2
354	75
355	79
356	F4
357	E5
358	F2
359	EA
360	68
361	E9
362	73
363	64
364	75
365	64
366	E6
367	EA
368	68
369	67
370	6B
371	64
372	E6
373	EA
374	67
375	E9
376	75
377	E3
378	F8
379	E3
380	76
381	EA
382	F8
383	68
384	6B
385	EA
386	F2
387	E9
388	75
389	E6
390	64
391	67
